"Now Shopping by","تسوق الآن من"
"The value of attribute ""%1"" is invalid.","قيمة السمة ""%1"" غير صحيح."
"Wrong entity ID","معرف خاطئ"
"Wrong attribute set ID","تعيين سمة معرف خاطئة"
"Wrong attribute group ID","تعيين مجموعة معرف خاطئة"
hello,مرحباً
"Some internal exception message.","بعض رسالة الاستثناء الداخلي."
"Not shared with other products","غير مشارك مع المنتجات الأخرى"
"Entity types declaration cache.","أنواع المدخلات لذاكرة إعلان التخزين المؤقت."
"""identifiers"" of CMS blocks should be specified","يجب أن يتم تعيين ""معرفات"" لل CMS blocks"
"""Page id should be specified","""معرف الصفحة يجب أن تكون محددة"
"The CMS block with the ""%1"" ID doesn't exist.","ال CMS block المعرفة ب ""%1"" غير موجودة."
"Advanced Inventory","المخزون المتقدم"
"Manage Stock","إدارة المخزون"
"Use Config Settings","استخدام اعداد الاعدادات"
"Out-of-Stock Threshold","حدود انتهاء المخزون"
"Minimum Qty Allowed in Shopping Cart","الكمية الدنيا المسموح بها في سلة التسوق"
"Maximum Qty Allowed in Shopping Cart","الكمية القصوى المسموح بها في سلة التسوق"
"Qty Uses Decimals","كمية تستخدم ارقام عشرية"
"Allow Multiple Boxes for Shipping","السماح بصناديق متعددة للشحن"
Backorders,"طلبات لمنتجات غير متوفرة"
"Notify for Quantity Below","اخطار لكمية ادناه"
"Enable Qty Increments","تمكين زيادة الكميات"
"Qty Increments","زيادة الكميات"
"Stock Availability","توفر المخزون"
"Use Deferred Stock Update","استخدام تحديث المخزون المؤجل"
"Allow Multiple Boxes for Shipping.","السماح بمربعات متعددة للشحن."
"Format for IDE '%1' is not supported","لم يتم دعم التنسيق لبيئة تطوير متكاملة '%1'"
"Client side less compilation","جانب العميل أقل تجميعا"
"Server side less compilation","جانب الملقم أقل تعقيد"
"Frontend Development Workflow","واجهة تطوير Workflow"
"Workflow type","نوع Workflow"
"Not available in production mode","غير متوفر في وضع الإنتاج"
"Developer Client Restrictions","المطور العملاء القيود"
"Allowed IPs (comma separated)","سمحت المءسسه (مفصوله بفواصل)"
"Leave empty for access from any location.","اترك فارغاً للوصول من أي مكان."
"Front-end development workflow","سير العمل في تطوير الواجهة الأمامية"
"Create Permanent Redirect for old URL","إنشاء ""إعادة توجيه دائمة"" لعنوان URL القديم"
"Invalid URL key","مفتاح الرابط غير صحيح"
"Category URL Suffix","لاحقة URL القسم"
"You need to refresh the cache.","تحتاج إلى تحديث ذاكرة التخزين المؤقت."
"Product URL Suffix","محدد موقع المعلومات اللاحقة للمنتج"
"Use Categories Path for Product URLs","استخدام فئات المسار لمحددات مواقع معلومات المنتج"
"Create Permanent Redirect for URLs if URL Key Changed","إنشاء ""إعادة توجيه دائمة"" لمحددات مواقع المعلومات في حالة تغيير مفتاح URL"
"You created the order.","قمت بإنشاء الطلب."
"Order saving error: %1","أمر حفظ الخطأ: %1"
"Please choose a payment method.","الرجاء اختيار طريقة الدفع."
"We can't process your order right now. Please try again later.","لا يمكننا معالجة طلبك الآن. الرجاء المحاولة مرة أخرى لاحقاً."
"An error occurred on the server. Please try to place the order again.","حدث خطأ في الخادوم. الرجاء محاولة وضع الطلب مرة أخرى."
"Credit Card: xxxx-%1","كارت ائتماني: xxxx-%1"
"amount %1","%1 كمية"
failed.,فشل.
successful.,"تم بنجاح."
"Authorize.Net Transaction ID %1.","رقم معاملة Authorize.Net %1."
authorize,التصريح
"authorize and capture","التحقق و القبض"
capture,التقاط
refund,"اعادة المبلغ المدفوع"
void,الفراغ
"Gateway error: %1","خطأ في البوابة: %1"
"Something went wrong in the payment gateway.","حدث خطأ في بوابة الدفع."
"Invalid amount for capture.","المبلغ غير صالح للقبض."
"Payment capturing error.","خطأ في قبض الدفعة."
"Invalid transaction ID.","رمز تعريف عملية الدفع غير موجود."
"Payment voiding error.","خطأ في الغاء الدفعة."
"Invalid amount for refund.","المبلغ غير قابل لاسترداده."
"Payment refunding error.","خطأ في استرداد المبلغ."
"The transaction was declined because the response hash validation failed.","تم رفض عملية الدفع نظراً لفشل التحقق من تجزئة الاستجابة."
"This payment didn't work out because we can't find this order.","عملية الدفع لم تنجح لاننا لم نستطع ايجاد هذا الطلب."
"There was a payment authorization error.","خطأ في إذن الدفع."
"Please enter a transaction ID to authorize this payment.","الرجاء إدخال رمز التعريف الخاص بعملية الدفع للسماح باتمام العملية."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","حدث خطأ: المبلغ المدفوع لا يتطابق مع كمية الطلبية. الرجاء تصحيح هذه المشكلة ثم حاول مرة أخرى."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","تم الموافقة على العملية  %1.القيمة %2. حالة العملية هي ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","تم رفض العملية %1.الحالة هي ""%2"".القيمة هي %3."
"Unable to get transaction details. Try again later.","غير قادر على الحصول على تفاصيل الصفقة. حاول مرة أخرى لاحقاً."
"Electronic payments save the trees.","المدفوعات الإلكترونية صديقة للبيئة."
"Fraud Detection ","الكشف عن حالات الغش "
"FDS Filter Action","إجراء تصفية FDS"
"AVS Response","رد AVS"
"Card Code Response","استجابة شفرة البطاقة"
"CAVV Response","استجابة CAVV"
"Fraud Filters","مانع الاحتيال."
"Place Order","إنشاء الطلب"
"Sorry, but something went wrong. Please contact the seller.","آسف، ولكن حدث شيء خاطئ خاطئ. الرجاء الاتصال بالبائع."
"Authorize.net Direct Post","نشر مباشر Authorize.net"
"API Login ID","API اسم المستخدم"
"Transaction Key","مفتاح عملية الدفع"
"Merchant MD5","تاجر MD5"
"New Order Status","حالة طلب جديدة"
"Test Mode","وضع الاختبار"
"Gateway URL","رابط البوابة"
"Transaction Details URL","رابط تفاصيل عملية الدفع"
"Accepted Currency","العملات المقبولة"
"Email Customer","البريد الإلكتروني للعميل"
"Merchant's Email","البريد الإلكتروني للتاجر"
"Credit Card Verification","التحقق من البطاقة الائتمانية"
"Minimum Order Total","إجمالي الحد الأدنى للطلب"
"Maximum Order Total","إجمالي الحد الأعلى للطلب"
"Cannot place order.","لا يمكن وضع أمر شراء."
"Unable to place order. Please try again later.","غير قادر على انشاء الطلب. من فضلك، حاول مرة أخرى لاحقاً."
"Order by SKU","الطلب بواسطة رمز ال SKU"
"Remove Row","إزالة صف"
"Sorry, something went wrong. You can find out more in the error log.","نأسف، حدث خطأ. يمكنك العثور على مزيد من المعلومات في سجل الخطأ."
"Allowed Credit Card Types","أنواع بطاقات الائتمان المسموحة"
"Add Rule","إضافة قاعدة"
"Braintree Settlement Report","تقرير تسوية Braintree"
"We can't initialize checkout.","لايمكننا تهيئة عملية الدفع."
"No authorization transaction to proceed capture.","لا إذن لمتابعة معاملة الالتقاط."
"Braintree error response.","رد خطأ Braintree."
"Payment method nonce can't be retrieved.","لا يمكن استرداد طريقة الدفع التجريبية."
"Wrong transaction status","حالة المعاملة غير صحيحة"
Authorize,تصريح
"--Please Select--","--أختر من فضلك--"
"Credit Card","بطاقة الإئتمان"
ending,إنهاء
expires,"انتهاء صلاحية"
PayPal,"باي بال"
"Please agree to all the terms and conditions before placing the order.","الرجاء الموافقة على كل الشروط والأحكام قبل انهاء طلبك."
"Please, enter valid Credit Card Number","الرجاء إدخال ""رقم بطاقة ائتمان"" صالحة"
"Please, enter valid Expiration Date","الرجاء إدخال ""تاريخ انتهاء صلاحية"" صالح"
"Please, enter valid Card Verification Number","الرجاء إدخال ""رقم تحقق بطاقة"" صالح"
"Are you sure you want to delete this PayPal account","هل أنت متأكد من أنك تريد حذف حساب بأي بال هذا"
